System,Scope,Owner,DeviceType,Signal,CleanName,Type,Interface,Unit,Range,Safety,Priority,ECU,Connector,Pin,PinRole,PinInterface,CAN
"Engine_Control_Software","software","Engine_SWC","swc_variable","Engine_State","","U8","CAN","NONE","0..15","QM","LOW","","",,"","","EngineStatus@0xCF00400 on Powertrain_Engine_Bus [16|8]"
"Engine_Control_Software","software","Engine_SWC","swc_variable","Oil_Health_Flag","","U1","CAN","BOOLEAN","0..1","QM","LOW","","",,"","","EngineStatus@0xCF00400 on Powertrain_Engine_Bus [24|1]"
"Transmission_Control_Software","software","Transmission_SWC","swc_variable","Current_Gear","","U8","CAN","NONE","0..24","QM","LOW","","",,"","","TransmissionStatus@0xCF00500 on Powertrain_Engine_Bus [0|8]"
"Transmission_Control_Software","software","Transmission_SWC","swc_variable","Transmission_Oil_Temp","","S16","CAN","CELSIUS","-40..150","QM","LOW","","",,"","","TransmissionStatus@0xCF00500 on Powertrain_Engine_Bus [8|16]"
"Transmission_Control_Software","software","Transmission_SWC","swc_variable","Ground_Speed","","U16","CAN","HERTZ","0..6000","QM","LOW","","",,"","","TransmissionStatus@0xCF00500 on Powertrain_Engine_Bus [24|16]"
"Engine_Diagnostic_Software","software","Engine_Diag_SWC","swc_variable","Active_DTC_Count","","U8","CAN","NONE","0..255","QM","LOW","","",,"","","EngineDiagnostics@0x18FECA00 on Diagnostic_OBD_Bus [0|8]"
"Engine_Diagnostic_Software","software","Engine_Diag_SWC","swc_variable","MIL_Status","","U1","CAN","BOOLEAN","0..1","QM","LOW","","",,"","","EngineDiagnostics@0x18FECA00 on Diagnostic_OBD_Bus [8|1]"
"Rear_Hitch_Control_Software","software","Hitch_SWC","swc_variable","Hitch_Position","","U16","CAN","PERCENT","0..100","QM","LOW","","",,"","","HitchStatus@0xCF0FD00 on ISOBUS [0|16]"
"Rear_Hitch_Control_Software","software","Hitch_SWC","swc_variable","Draft_Force","","U16","CAN","NONE","0..65535","QM","LOW","","",,"","","HitchStatus@0xCF0FD00 on ISOBUS [16|16]"
"Rear_Hitch_Control_Software","software","Hitch_SWC","swc_variable","Hitch_State","","U8","CAN","NONE","0..7","QM","LOW","","",,"","","HitchStatus@0xCF0FD00 on ISOBUS [32|8]"
"Cabin_Display_Software","software","Cabin_SWC","swc_variable","Display_Vehicle_Speed","","U16","CAN","HERTZ","0..6000","QM","LOW","","",,"","","CabinBroadcast@0xCF00200 on Tractor_Bus [0|16]"
"Cabin_Display_Software","software","Cabin_SWC","swc_variable","Cluster_Warning_Flags","","U8","CAN","NONE","0..255","QM","LOW","","",,"","","CabinBroadcast@0xCF00200 on Tractor_Bus [16|8]"
